Time (ms),RMS Speed (m/s)
8829.166666666813,0.5858677
8833.33333333348,0.6377446
8841.666666666812,0.5382475
8850.000000000144,0.35493118
8854.16666666681,0.35075733
8858.333333333476,1.1515934
8900.000000000136,0.5857107
8945.833333333463,0.56030077
8954.166666666795,0.7015244
8966.666666666793,0.90724456
9008.333333333454,0.6073952
9016.666666666786,0.9027842
9020.833333333452,0.7067481
9033.33333333345,0.21312596
9037.500000000116,0.19452411
9045.833333333449,0.4764461
9079.166666666777,0.6567781
9091.666666666775,0.88069874
9100.000000000107,0.8671771
9108.33333333344,0.4120224
9150.0000000001,0.7662761
9162.500000000098,0.8487841
9212.500000000091,0.84856045
9216.666666666757,0.8629897
9258.333333333418,0.61479414
9262.500000000084,0.6075228
9283.333333333414,0.9237325
9287.50000000008,1.065013
9308.33333333341,1.0309049
9354.166666666737,0.97348946
9366.666666666735,0.8914602
9379.166666666733,0.2192369
9429.166666666726,0.1956693
9433.333333333392,0.1639934
9450.000000000056,0.79388326
9462.500000000055,0.22926265
9470.833333333387,0.23085606
9479.166666666719,0.59144527
9487.500000000051,0.57612586
9579.166666666704,0.63709444
9591.666666666702,0.5475347
9604.1666666667,0.64103216
9679.16666666669,0.2689274
9758.333333333345,0.63649064
9762.500000000011,0.96290225
9775.00000000001,0.9930589
9783.333333333341,1.408385
9820.833333333336,0.2927742
9829.166666666668,0.9296027
9833.333333333334,0.5563017
9854.166666666664,0.52475804
9895.833333333325,0.690854
9899.99999999999,0.56316257
9908.333333333323,0.93454075
9916.666666666655,0.7850177
9941.666666666652,0.71671444
9954.16666666665,0.8644448
9970.833333333314,0.5261599
9983.333333333312,0.93536586
9991.666666666644,0.64080006
9999.999999999976,0.49066654
10037.49999999997,0.41119695
10066.666666666633,0.1496092
10070.8333333333,0.8139279
10074.999999999965,0.33139595
10099.999999999962,0.14637184
10108.333333333294,1.2891825
10120.833333333292,1.0460665
10154.16666666662,0.57675725
10174.99999999995,0.36193034
10183.333333333283,0.53436804
10191.666666666615,0.43769076
10195.833333333281,0.5554113
10212.499999999945,0.31825465
10216.666666666611,0.91625357
10237.499999999942,1.164522
10245.833333333274,0.17318007
10249.99999999994,0.63372386
10266.666666666604,0.807773
10279.166666666602,1.041687
10295.833333333267,0.7498062
10329.166666666595,0.88513094
10333.333333333261,0.14687552
10345.83333333326,0.4297733
10358.333333333258,0.58411807
10374.999999999922,0.9327784
10387.49999999992,0.6013564
10395.833333333252,0.67326206
10424.999999999915,0.8623927
10454.166666666577,0.53780943
10470.833333333241,0.550277
10474.999999999907,0.83710796
10479.166666666573,0.39771557
10512.499999999902,0.94569695
10529.166666666566,0.26703218
10537.499999999898,0.7463691
10541.666666666564,0.76190144
10545.83333333323,0.77033913
10595.833333333223,1.0392197
10604.166666666555,0.262735
10633.333333333218,0.77850366
10645.833333333216,0.9037264
10658.333333333214,0.5265724
10674.999999999878,1.0257639
10699.999999999874,0.8508606
10708.333333333207,0.61909395
10762.499999999865,0.6727121
10799.99999999986,0.16607735
10808.333333333192,0.56159693
10829.166666666522,0.15799832
10841.66666666652,0.82698405
10845.833333333187,0.56510097
10849.999999999853,0.16622573
10883.333333333181,0.92696387
10891.666666666513,0.60214776
10895.83333333318,0.13880193
10899.999999999845,0.97275317
10916.66666666651,1.0194501
10937.49999999984,0.14228673
10941.666666666506,0.1481468
10954.166666666504,0.7115855
10958.33333333317,0.7153494
10962.499999999836,0.82672596
10983.333333333167,0.7173234
11008.333333333163,0.19041505
11020.833333333161,0.83409554
11049.999999999824,0.6632371
11062.499999999822,0.15384826
11066.666666666488,0.2219258
11074.99999999982,0.306679
11116.66666666648,0.55209947
11137.49999999981,0.67692125
11154.166666666475,0.7668261
11158.333333333141,0.8722989
11179.166666666471,0.6165394
11216.666666666466,0.74523544
11274.99999999979,0.70636815
11299.999999999787,0.55098784
11324.999999999784,0.9968447
11337.499999999782,0.87476987
11354.166666666446,0.5347197
11358.333333333112,0.15651333
11366.666666666444,0.3427605
11374.999999999776,1.0134887
11395.833333333107,0.5459648
11408.333333333105,0.6328648
11412.49999999977,0.15453064
11441.666666666433,0.3130923
11491.666666666426,0.35345864
11516.666666666422,0.18522295
11520.833333333088,0.61670107
11529.16666666642,0.57519776
11679.166666666399,1.0204298
11708.333333333061,0.6451531
11716.666666666393,1.0044603
11724.999999999725,0.62290776
11737.499999999724,0.94391406
11758.333333333054,0.76990455
11766.666666666386,0.95484596
11779.166666666384,1.0671287
11783.33333333305,0.59672236
11795.833333333048,0.8554655
11799.999999999714,0.50735235
11804.16666666638,0.63826555
11816.666666666379,0.8823735
11820.833333333045,0.8319423
11845.833333333041,0.24805942
11874.999999999704,0.34048155
11883.333333333036,0.71289665
11929.166666666362,0.5828447
11937.499999999694,0.34600896
11949.999999999693,0.25526288
11966.666666666357,0.67450064
11970.833333333023,1.2422905
11999.999999999685,0.79355174
12020.833333333016,0.30436698
12058.33333333301,0.46095008
12066.666666666342,0.8580124
12079.16666666634,0.6481934
12083.333333333007,0.45984185
12091.666666666339,0.6032367
12124.999999999667,0.84206223
12166.666666666328,0.6524267
12174.99999999966,0.80493385
12179.166666666326,0.93109083
12212.499999999654,0.8743839
12233.333333332985,0.88730514
12254.166666666315,0.33361647
12270.83333333298,1.1386608
12279.166666666311,0.4752997
12291.66666666631,0.6354695
12304.166666666308,0.9119873
12308.333333332974,0.52075213
12316.666666666306,0.70057744
12349.999999999634,0.46919328
12354.1666666663,0.78968805
12374.99999999963,0.9453259
12387.499999999629,0.7352647
12404.166666666293,0.63639927
12416.666666666291,0.72534716
12424.999999999623,0.64904004
12445.833333332954,0.8115636
12449.99999999962,0.16208859
12454.166666666286,0.78585553
12466.666666666284,0.62824494
12483.333333332948,0.16827425
12499.999999999613,0.59505063
12516.666666666277,0.75349194
12537.499999999607,0.4587015
12541.666666666273,0.6813989
12554.166666666271,0.5683944
12570.833333332936,0.52343744
12591.666666666266,0.7702693
12620.833333332928,0.7240533
12645.833333332925,0.87467235
12649.99999999959,0.8206327
12654.166666666257,0.5192911
12699.999999999583,0.7331001
12724.99999999958,0.5535544
12741.666666666244,0.9608985
12749.999999999576,0.98368984
12758.333333332908,0.9872207
12762.499999999574,0.6009972
12766.66666666624,0.98992217
12774.999999999573,0.6036016
12787.49999999957,1.0223238
12795.833333332903,0.619509
12799.999999999569,0.40696216
12866.666666666226,0.8794932
12895.833333332888,0.6465839
12904.16666666622,0.42524263
12966.666666666211,0.8925192
12983.333333332876,0.78579843
13008.333333332872,0.9127815
13012.499999999538,0.6178195
13041.6666666662,0.7663686
13054.166666666199,0.63606
13070.833333332863,0.68230295
13108.333333332857,0.64376014
13124.999999999522,0.7531102
13133.333333332854,0.5549962
13170.833333332848,0.16749378
13174.999999999514,1.1742233
13199.99999999951,0.67522305
13220.833333332841,0.63742554
13237.499999999505,0.7360938
13245.833333332837,0.70009553
13270.833333332834,1.2080323
13291.666666666164,0.63009137
13304.166666666162,0.3677852
13312.499999999494,0.7188674
13320.833333332826,0.18420455
13345.833333332823,0.60492736
13362.499999999487,0.6831523
13366.666666666153,0.290085
13374.999999999485,0.74213225
13391.66666666615,1.2630485
13408.333333332814,0.1381733
13412.49999999948,1.1904148
13424.999999999478,0.6957197
13429.166666666144,0.69966894
13433.33333333281,0.7895599
13437.499999999476,0.14728777
13441.666666666142,0.8542966
13470.833333332805,0.44076777
13474.99999999947,0.6633968
13479.166666666137,0.6222547
13504.166666666133,0.15104228
13508.3333333328,1.0693201
13516.666666666131,0.74030983
13541.666666666128,0.65162134
13549.99999999946,0.6571835
13562.499999999458,0.7498626
13570.83333333279,0.31047425
13645.83333333278,0.9406342
13679.166666666108,0.6531397
13687.49999999944,0.98767376
13708.33333333277,0.33815444
13716.666666666102,1.00783
13724.999999999434,0.15605357
13733.333333332766,0.33007815
13766.666666666095,0.8788141
13787.499999999425,0.5336567
13791.666666666091,0.14541464
13795.833333332757,0.15019856
13808.333333332756,0.5967907
13812.499999999422,0.74498934
13841.666666666084,0.7233393
13858.333333332748,0.7325506
13870.833333332746,0.7254674
13916.666666666073,0.5268995
13945.833333332735,0.34132278
13949.999999999402,0.55528504
13983.33333333273,0.7907287
14004.16666666606,0.77054095
14012.499999999392,0.8286251
14037.499999999389,0.7809751
14054.166666666053,0.24180052
14087.499999999382,0.7236337
14091.666666666048,0.24366961
14124.999999999376,0.8994894
14129.166666666042,0.83358276
14154.166666666039,0.9542774
14174.999999999369,0.50195915
14212.499999999363,0.4259501
14229.166666666028,0.59154505
14287.499999999352,1.0678991
14308.333333332683,0.50666046
14320.833333332681,0.1912862
14341.666666666011,0.8222098
